package_author,package_author_email,package_id,package_license,package_maintainer,package_maintainer_email,package_metadata_created,package_metadata_modified,package_name,package_notes,package_organization,package_organization_title,package_tags,package_title,resource_cache_last_updated,resource_cache_url,resource_ckan_url,resource_created,resource_datastore_active,resource_datastore_contains_all_records_of_source_file,resource_description,resource_format,resource_hash,resource_id,resource_ignore_hash,resource_last_modified,resource_metadata_modified,resource_mimetype,resource_mimetype_inner,resource_name,resource_notes,resource_original_url,resource_position,resource_resource_type,resource_set_url_type,resource_size,resource_state,resource_task_created,resource_tracking_summary,resource_url,resource_url_type
Centro de Controle Multimodal,ccmrodovias@artesp.sp.gov.br,5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc,Other (Public Domain),Centro de Controle Multimodal,ccmrodovias@artesp.sp.gov.br,2025-05-29T13:04:31.046079,2025-11-10T19:37:35.258051,acidentes,Contém informações  sobre os acidentes ocorridos na malha rodoviária estadual sob concessão.,artesp,ARTESP,"Acidente,Fumaça,Neblina,Pedágio",Acidentes,,,https://dadosabertos.artesp.sp.gov.br,2025-08-12T12:28:00.593540,True,True,Dados referente a acidentes por falta de visibilidade devido fumaça e neblina nas rodovias estaduais sob concessão.,XLSX,30a9bf114e1d09f50d51770e7ba74224,c99b1984-0d55-42b8-92cf-bd07f53c5972,False,2025-11-10T19:26:12.578295,2025-11-10T19:26:24.059335,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,Acidentes por Fumaça e Neblina,,https://dadosabertos.artesp.sp.gov.br/dataset/5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc/resource/c99b1984-0d55-42b8-92cf-bd07f53c5972/download/acidentes-por-queimadas-e-neblina.xlsx,0,,False,559667,active,2025-11-10 19:26:12.938513,"{'total': 9, 'recent': 9}",https://dadosabertos.artesp.sp.gov.br/dataset/5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc/resource/c99b1984-0d55-42b8-92cf-bd07f53c5972/download/acidentes-por-queimadas-e-neblina.xlsx,upload
Centro de Controle Multimodal,ccmrodovias@artesp.sp.gov.br,5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc,Other (Public Domain),Centro de Controle Multimodal,ccmrodovias@artesp.sp.gov.br,2025-05-29T13:04:31.046079,2025-11-10T19:37:35.258051,acidentes,Contém informações  sobre os acidentes ocorridos na malha rodoviária estadual sob concessão.,artesp,ARTESP,"Acidente,Fumaça,Neblina,Pedágio",Acidentes,,,https://dadosabertos.artesp.sp.gov.br,2025-05-29T13:14:44.750715,True,True,Dados referentes a acidentes ocorridos nas praças de pedágio ou no suas proximidades.,XLSX,83312c29d9c1589d4c4eaf31a5e515fb,ef45d05c-c9a9-46e3-91ba-8921aca2e249,False,2025-11-10T19:37:08.518756,2025-11-10T19:37:35.272454,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,Acidentes nas Praças de Pedágio,,https://dadosabertos.artesp.sp.gov.br/dataset/5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc/resource/ef45d05c-c9a9-46e3-91ba-8921aca2e249/download/acidentes_pracas_de_pedagio.xlsx,1,,False,3487146,active,2025-11-10 19:37:08.798455,"{'total': 4, 'recent': 2}",https://dadosabertos.artesp.sp.gov.br/dataset/5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc/resource/ef45d05c-c9a9-46e3-91ba-8921aca2e249/download/acidentes_pracas_de_pedagio.xlsx,upload
Centro de Controle Multimodal,ccmrodovias@artesp.sp.gov.br,5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc,Other (Public Domain),Centro de Controle Multimodal,ccmrodovias@artesp.sp.gov.br,2025-05-29T13:04:31.046079,2025-11-10T19:37:35.258051,acidentes,Contém informações  sobre os acidentes ocorridos na malha rodoviária estadual sob concessão.,artesp,ARTESP,"Acidente,Fumaça,Neblina,Pedágio",Acidentes,,,,2025-05-29T13:28:18.129256,True,False,Contém dados comparativos sobre acidentes com óbitos registrados nos sistemas da ARTESP e do INFOSIGA.,CSV,45696161673826dd9f8b372af79269d1,85f3615b-28dd-478e-9cba-35ead5f04e28,,2025-10-23T16:26:24.123178,2025-10-24T19:40:11.480010,text/csv,,Registro óbitos da ARTESP e INFOSIGA,,,2,,,138560,active,,"{'total': 10, 'recent': 4}",https://dadosabertos.artesp.sp.gov.br/dataset/5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc/resource/85f3615b-28dd-478e-9cba-35ead5f04e28/download/obitos-do-mits-e-infosiga.csv,upload
Centro de Controle Multimodal,ccmrodovias@artesp.sp.gov.br,5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc,Other (Public Domain),Centro de Controle Multimodal,ccmrodovias@artesp.sp.gov.br,2025-05-29T13:04:31.046079,2025-11-10T19:37:35.258051,acidentes,Contém informações  sobre os acidentes ocorridos na malha rodoviária estadual sob concessão.,artesp,ARTESP,"Acidente,Fumaça,Neblina,Pedágio",Acidentes,,,https://dadosabertos.artesp.sp.gov.br,2025-06-30T19:43:57.802867,True,True,,CSV,69e643fadb3de2364efe9801fab0be8d,287f0b63-6188-4ff8-bd51-429a9876c87a,False,2025-10-24T19:40:11.392770,2025-10-24T19:40:48.660665,text/csv,,Acidentes em 2025,,https://dadosabertos.artesp.sp.gov.br/dataset/5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc/resource/287f0b63-6188-4ff8-bd51-429a9876c87a/download/acidentes_2025.csv,3,,False,8873880,active,2025-10-24 19:40:11.798111,"{'total': 42, 'recent': 20}",https://dadosabertos.artesp.sp.gov.br/dataset/5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc/resource/287f0b63-6188-4ff8-bd51-429a9876c87a/download/acidentes_2025.csv,upload
Centro de Controle Multimodal,ccmrodovias@artesp.sp.gov.br,5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc,Other (Public Domain),Centro de Controle Multimodal,ccmrodovias@artesp.sp.gov.br,2025-05-29T13:04:31.046079,2025-11-10T19:37:35.258051,acidentes,Contém informações  sobre os acidentes ocorridos na malha rodoviária estadual sob concessão.,artesp,ARTESP,"Acidente,Fumaça,Neblina,Pedágio",Acidentes,,,https://dadosabertos.artesp.sp.gov.br,2025-06-30T19:44:06.872445,True,True,,CSV,9131606e1e5268191f703cfdc8b3575a,cc28e2ac-9395-46dd-88f2-1abd1bffc9e6,False,2025-06-30T19:44:06.807780,2025-06-30T19:45:04.884393,text/csv,,Acidentes_2024,,https://dadosabertos.artesp.sp.gov.br/dataset/5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc/resource/cc28e2ac-9395-46dd-88f2-1abd1bffc9e6/download/acidentes_2024.csv,4,,False,9684089,active,2025-06-30 19:44:07.122356,"{'total': 26, 'recent': 17}",https://dadosabertos.artesp.sp.gov.br/dataset/5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc/resource/cc28e2ac-9395-46dd-88f2-1abd1bffc9e6/download/acidentes_2024.csv,upload
Centro de Controle Multimodal,ccmrodovias@artesp.sp.gov.br,5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc,Other (Public Domain),Centro de Controle Multimodal,ccmrodovias@artesp.sp.gov.br,2025-05-29T13:04:31.046079,2025-11-10T19:37:35.258051,acidentes,Contém informações  sobre os acidentes ocorridos na malha rodoviária estadual sob concessão.,artesp,ARTESP,"Acidente,Fumaça,Neblina,Pedágio",Acidentes,,,https://dadosabertos.artesp.sp.gov.br,2025-06-30T19:50:12.137075,True,True,,CSV,bf8e4fba395d056c7a0e961a2ce312ef,c4489304-2c86-4be0-b9e3-c79a9a73f992,False,2025-06-30T19:50:12.032067,2025-06-30T20:00:10.921998,text/csv,,Acidentes_2023,,https://dadosabertos.artesp.sp.gov.br/dataset/5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc/resource/c4489304-2c86-4be0-b9e3-c79a9a73f992/download/acidentes_2023.csv,5,,False,8890838,active,2025-06-30 19:50:12.668387,"{'total': 12, 'recent': 10}",https://dadosabertos.artesp.sp.gov.br/dataset/5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc/resource/c4489304-2c86-4be0-b9e3-c79a9a73f992/download/acidentes_2023.csv,upload
Centro de Controle Multimodal,ccmrodovias@artesp.sp.gov.br,5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc,Other (Public Domain),Centro de Controle Multimodal,ccmrodovias@artesp.sp.gov.br,2025-05-29T13:04:31.046079,2025-11-10T19:37:35.258051,acidentes,Contém informações  sobre os acidentes ocorridos na malha rodoviária estadual sob concessão.,artesp,ARTESP,"Acidente,Fumaça,Neblina,Pedágio",Acidentes,,,https://dadosabertos.artesp.sp.gov.br,2025-06-30T19:50:02.812391,True,True,,CSV,998cb361c96b6df3bff3d51264e36ced,dbbb963b-dce8-4ba0-bcdd-f69aa9e734c7,False,2025-06-30T19:50:02.663943,2025-06-30T19:59:28.662587,text/csv,,Acidentes_2022,,https://dadosabertos.artesp.sp.gov.br/dataset/5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc/resource/dbbb963b-dce8-4ba0-bcdd-f69aa9e734c7/download/acidentes_2022.csv,6,,False,8368066,active,2025-06-30 19:50:03.429515,"{'total': 7, 'recent': 5}",https://dadosabertos.artesp.sp.gov.br/dataset/5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc/resource/dbbb963b-dce8-4ba0-bcdd-f69aa9e734c7/download/acidentes_2022.csv,upload
Centro de Controle Multimodal,ccmrodovias@artesp.sp.gov.br,5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc,Other (Public Domain),Centro de Controle Multimodal,ccmrodovias@artesp.sp.gov.br,2025-05-29T13:04:31.046079,2025-11-10T19:37:35.258051,acidentes,Contém informações  sobre os acidentes ocorridos na malha rodoviária estadual sob concessão.,artesp,ARTESP,"Acidente,Fumaça,Neblina,Pedágio",Acidentes,,,https://dadosabertos.artesp.sp.gov.br,2025-06-30T19:49:54.394785,True,True,,CSV,2949a7a880ebef21058c549e0228e6d2,9a77f637-959f-4a5a-b965-1a44aacfdf6c,False,2025-06-30T19:49:54.241045,2025-06-30T19:58:48.984618,text/csv,,Acidentes_2021,,https://dadosabertos.artesp.sp.gov.br/dataset/5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc/resource/9a77f637-959f-4a5a-b965-1a44aacfdf6c/download/acidentes_2021.csv,7,,False,8040402,active,2025-06-30 19:49:54.880390,"{'total': 4, 'recent': 3}",https://dadosabertos.artesp.sp.gov.br/dataset/5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc/resource/9a77f637-959f-4a5a-b965-1a44aacfdf6c/download/acidentes_2021.csv,upload
Centro de Controle Multimodal,ccmrodovias@artesp.sp.gov.br,5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc,Other (Public Domain),Centro de Controle Multimodal,ccmrodovias@artesp.sp.gov.br,2025-05-29T13:04:31.046079,2025-11-10T19:37:35.258051,acidentes,Contém informações  sobre os acidentes ocorridos na malha rodoviária estadual sob concessão.,artesp,ARTESP,"Acidente,Fumaça,Neblina,Pedágio",Acidentes,,,https://dadosabertos.artesp.sp.gov.br,2025-06-30T19:49:47.162490,True,True,,CSV,13640311b9db964448f6b4b7d4f53b12,8687b229-5145-407b-bf62-36d4b6e78cd9,False,2025-06-30T19:49:47.014397,2025-06-30T19:58:10.741442,text/csv,,Acidentes_2020,,https://dadosabertos.artesp.sp.gov.br/dataset/5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc/resource/8687b229-5145-407b-bf62-36d4b6e78cd9/download/acidentes_2020.csv,8,,False,7396368,active,2025-06-30 19:49:47.628004,"{'total': 4, 'recent': 3}",https://dadosabertos.artesp.sp.gov.br/dataset/5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc/resource/8687b229-5145-407b-bf62-36d4b6e78cd9/download/acidentes_2020.csv,upload
Centro de Controle Multimodal,ccmrodovias@artesp.sp.gov.br,5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc,Other (Public Domain),Centro de Controle Multimodal,ccmrodovias@artesp.sp.gov.br,2025-05-29T13:04:31.046079,2025-11-10T19:37:35.258051,acidentes,Contém informações  sobre os acidentes ocorridos na malha rodoviária estadual sob concessão.,artesp,ARTESP,"Acidente,Fumaça,Neblina,Pedágio",Acidentes,,,https://dadosabertos.artesp.sp.gov.br,2025-06-30T19:49:38.208210,True,True,,CSV,9a9d660a3ae4be04d59fb75111799c0f,cf45c7ae-834a-4980-a061-e61e96a386aa,False,2025-06-30T19:49:38.110238,2025-06-30T19:57:34.778647,text/csv,,Acidentes_2019,,https://dadosabertos.artesp.sp.gov.br/dataset/5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc/resource/cf45c7ae-834a-4980-a061-e61e96a386aa/download/acidentes_2019.csv,9,,False,9008973,active,2025-06-30 19:49:38.692613,"{'total': 7, 'recent': 6}",https://dadosabertos.artesp.sp.gov.br/dataset/5e3af2a0-3b6a-4ee6-8556-b59b5d813ffc/resource/cf45c7ae-834a-4980-a061-e61e96a386aa/download/acidentes_2019.csv,upload
